id,outcome,freshman,age,female,white,intl,married,hsgpa,hsrankpercent,SAT_Comb,a_rank,p_rank,interview,coaaid
158974,0,1,18,1,1,0,1,4.37,0.881818182,,2,3,0,5000
158975,0,1,18,0,,0,1,3.38,0.656028369,1620,4,3,0,20400
159015,0,1,18,1,,0,0,3.65,0.704453441,1790,3,3,0,24000
159018,0,1,18,1,,0,0,3.34,,,4,3,0,0
159024,0,1,19,1,1,0,1,,,2170,2,2,1,31675
159031,0,1,18,1,1,0,0,3.4,,1740,3,3,0,0
159043,1,1,19,0,1,0,0,3.39,,2110,3,2,0,5000
159048,0,1,19,1,1,0,1,,,,3,2,0,5000
159050,1,1,20,1,1,0,1,3.78,,2200,2,3,0,27950
159096,0,1,19,1,1,0,1,,,1610,3,3,0,0
159112,1,1,19,0,1,0,1,4.05,,,3,2,0,5000
159114,0,1,18,0,1,0,1,3.34,,1830,4,4,0,18000
159292,1,0,30,1,1,0,0,,,,2,2,1,30000
161052,0,0,16,1,1,0,0,,,,3,3,0,24000
161336,0,1,18,1,1,0,0,4.1,0.87706422,1660,3,3,0,0
161360,0,0,19,0,1,0,0,3.59,,,3,3,0,0
161363,0,1,19,1,1,0,1,,,,2,2,1,28125
151402,1,0,20,0,0,0,0,,,2060,2,3,0,29919
153090,1,1,19,1,1,0,0,,,,3,1,1,29000
153091,0,0,21,1,1,0,1,3.4,0.637096774,1720,3,2,1,20000
153092,1,1,18,1,1,0,0,3.36,,1930,3,3,1,24333
153112,0,1,19,1,1,0,0,3.9,,1930,2,2,0,15000
153142,0,1,19,0,1,0,0,2.8,,2120,2,3,0,30000
153151,0,1,19,1,1,0,1,,,1820,3,3,1,24000
153249,1,1,19,1,1,0,1,3.59,,,2,2,1,30000
153437,1,1,19,1,1,0,1,3.66,,,2,2,1,30333
153440,0,1,18,1,,0,1,3.8,0.971875,,3,3,0,0
153524,0,1,18,0,1,0,0,4.26,,2120,2,2,1,8000
153872,0,1,19,1,1,0,1,3.6,0.859296482,1990,3,3,0,15450
153873,0,1,18,1,,0,0,3.84,0.919354839,1850,2,2,1,13100
153961,0,1,19,1,1,0,1,,0.995515695,2350,1,2,1,8000
161416,0,1,19,1,,0,1,,,2090,2,1,1,9005
161457,0,0,20,0,,0,1,,,,4,4,0,0
161472,1,1,20,1,1,0,0,3.73,,,3,3,0,27000
161478,0,1,19,1,,0,0,,,,4,3,0,0
161489,0,1,19,0,1,0,1,,,,2,1,0,13625
161511,0,1,19,0,1,0,1,3.6,,2280,1,1,0,10000
161529,1,1,19,0,1,0,0,,,,3,2,1,30334
161534,1,1,18,1,1,0,1,,,,2,1,1,26650
161539,0,1,19,1,1,0,1,3.8,0.906432749,,2,3,1,5000
161555,0,1,18,1,1,0,0,3.45,,1730,4,3,0,21000
161570,0,1,18,0,1,0,1,2.16,,,4,3,0,0
161571,0,1,18,1,,0,1,3.57,,,3,3,0,3000
161576,1,0,20,1,0,0,0,,,,2,2,1,30166
161578,1,1,19,1,1,0,1,3.7,,,3,2,0,15000
145803,0,1,17,0,1,0,1,4.14,0.933747412,2010,2,4,0,22200
146127,0,1,18,1,1,0,1,3.6,0.899653979,1870,2,1,0,33000
146901,0,1,19,1,1,0,1,3.72,,1670,3,2,0,0
146917,1,1,18,0,1,0,1,,,2230,2,1,1,6913
146996,0,1,19,1,1,0,,3.39,0.741399763,,4,3,0,0
147084,0,1,18,1,1,0,1,3.4,0.774468085,1880,3,2,1,14450
147146,1,1,19,1,1,0,1,3.74,0.886315789,1910,4,3,0,20445
161746,1,1,18,1,1,0,1,3.44,,1980,4,4,0,18334
161807,1,0,27,0,1,0,0,,,,4,2,1,0
161817,0,1,19,0,1,0,1,,,2090,2,2,0,8000
161822,1,1,18,1,1,0,1,3.88,0.86,2040,3,3,0,21900
161823,0,1,19,1,1,0,0,3.3,0.733031674,,3,2,0,0
161825,0,1,19,0,1,0,1,3.74,0.859756098,,4,3,0,21000
161832,1,1,19,1,1,0,0,4,0.975,1980,2,2,0,30850
161848,0,1,18,1,1,0,0,3.56,,1740,3,3,0,0
161849,0,1,19,1,1,0,0,3.75,0.732793522,1980,2,3,0,0
161857,0,1,19,0,,0,1,,,1710,4,2,0,13500
161861,0,1,19,1,,0,0,,,1840,4,3,0,0
161864,0,1,19,1,,0,0,,,,4,3,0,15750
161879,0,1,20,1,1,0,1,,,,2,2,1,10000
161882,0,1,19,1,0,0,1,3.22,,1740,3,2,0,5000
161936,0,1,18,1,0,0,1,3.48,,2000,2,3,0,5000
162022,0,1,19,1,1,0,0,,,1950,3,3,0,24000
162028,0,1,19,0,,0,0,3.8,,1890,3,3,0,0
162084,0,1,19,0,,0,1,4.33,0.983783784,,1,1,1,10000
162091,1,0,20,1,1,0,1,,,,2,3,1,5000
162093,0,1,18,1,1,0,1,,,,3,1,0,30000
162094,0,1,20,1,,0,1,,,,3,3,0,13000
162111,0,1,18,1,1,0,1,,,,2,2,0,0
162151,0,1,18,1,1,0,1,3.98,,1840,2,3,0,5000
162153,0,1,18,1,,0,1,4.48,0.876760563,1940,2,3,0,16700
162156,1,0,21,0,1,0,0,3.95,,2100,2,1,1,33000
