id,outcome,a_rank,p_rank,freshman,ed,age,female,white,award,interview
311429,0,4,4,1,0,18,1,0,0,1
311432,0,3,3,1,0,18,1,1,27150,1
311441,0,3,3,1,0,18,1,1,0,0
311474,0,3,2,1,0,18,1,1,34700,0
311477,1,3,2,1,0,18,1,1,0,0
311490,0,2,1,1,0,17,1,1,0,1
311493,0,3,2,1,0,18,1,1,8000,0
311499,0,3,3,1,0,18,0,1,0,0
311500,0,4,3,0,0,27,1,1,15000,0
311503,1,2,2,1,0,19,1,0,19131,0
311505,1,2,2,1,0,18,1,1,22775,0
311506,0,3,2,1,0,18,0,1,0,0
311521,1,4,3,1,1,18,1,1,22500,1
311527,1,2,1,1,0,18,0,1,22875,0
311531,0,2,1,1,0,18,1,0,4031,1
311536,0,2,2,0,0,19,1,1,0,0
311603,0,4,2,1,0,18,0,,30000,1
311605,0,3,2,1,0,18,1,1,10000,0
311639,1,2,1,1,0,19,1,0,0,1
311640,0,3,2,1,0,20,1,1,5000,1
311646,1,2,2,1,0,18,1,1,12450,1
311650,1,3,2,1,1,18,1,1,15000,1
311651,0,2,3,1,0,18,1,1,5000,0
311653,0,3,3,1,0,18,1,1,9225,0
311657,0,4,2,1,0,18,0,1,28450,0
311664,0,1,3,1,0,19,1,0,25000,0
311670,0,3,3,1,0,18,0,1,0,0
311702,1,3,3,1,1,18,1,1,3000,1
311705,1,1,1,1,0,18,0,1,18000,1
311707,0,4,3,1,0,19,0,1,0,0
311716,0,3,3,1,0,17,1,1,0,0
311754,1,2,2,1,0,18,1,1,16050,0
311758,0,4,3,1,0,18,0,1,17200,0
311759,0,3,3,1,0,18,1,0,30000,0
311761,0,3,3,1,0,19,1,,0,0
311762,0,2,2,1,0,18,1,1,0,0
311764,0,3,3,1,0,19,1,1,15000,0
311765,0,2,2,1,0,18,0,1,0,0
311770,0,3,2,1,0,18,0,1,24031,0
311779,0,3,2,1,0,18,0,1,10000,0
311785,0,3,3,1,0,19,1,0,26100,1
311793,0,4,3,1,0,18,1,1,0,1
311798,0,3,3,1,0,18,1,1,5000,0
311803,0,2,2,1,0,18,1,1,14175,0
311807,0,2,2,1,0,19,0,1,9455,1
311813,0,3,2,1,0,18,1,,5000,0
311814,0,3,2,1,0,18,1,1,0,0
311818,0,3,3,1,0,18,1,1,0,0
311820,0,3,3,0,0,18,1,1,0,0
311825,0,3,1,1,0,19,1,1,25300,0
311826,1,1,3,1,0,114,1,1,25000,0
311828,0,3,3,1,0,18,1,1,0,0
311831,0,2,2,1,0,18,1,1,0,0
311833,0,3,3,1,0,18,1,1,3000,0
311835,0,3,2,1,0,18,1,,34725,0
311839,1,2,3,1,0,18,1,1,35000,0
311840,1,3,3,1,1,18,1,0,37500,1
311844,0,3,2,1,0,16,1,1,14600,0
311855,0,3,2,1,0,18,1,1,0,0
311859,0,3,2,1,0,17,1,0,5000,0
311867,0,4,3,1,0,18,0,0,27000,0
311871,0,2,2,1,0,18,1,1,23775,0
311873,0,2,2,1,0,18,1,1,0,0
311876,0,3,3,1,0,17,0,1,0,0
311878,0,2,2,1,0,18,1,1,25000,0
311891,0,3,1,1,0,18,1,1,2950,1
311901,0,2,2,1,0,18,1,0,0,0
311907,1,1,3,1,1,17,1,1,21525,0
311938,1,2,3,1,0,18,1,0,35000,0
311950,0,2,3,1,0,18,1,1,15000,0
311952,0,2,2,1,0,19,0,1,10000,0
311954,0,3,3,1,0,18,1,1,20850,0
311970,0,3,3,1,0,18,1,0,0,0
313814,0,2,3,1,0,18,0,1,5000,0
313847,0,2,2,1,0,19,1,0,16631,0
313865,1,4,3,0,1,20,0,0,34000,1
313885,0,4,3,1,0,19,0,0,30000,1
313897,0,2,2,1,0,18,0,0,21450,0
313907,0,2,3,1,0,19,0,1,5000,0
313910,0,3,3,0,0,20,1,0,0,0
313912,0,3,1,1,0,18,1,1,25275,0
313914,0,3,2,1,0,18,1,1,0,0
313946,0,1,2,1,0,19,0,1,0,0
313959,0,2,2,1,0,16,1,0,25000,0
313982,0,3,2,1,0,18,1,1,5000,0
313983,0,2,2,1,0,18,1,1,0,0
313985,0,3,3,1,0,18,1,0,30000,0
313988,0,2,3,1,0,19,1,0,0,0
313996,0,3,2,1,0,18,0,1,34700,0
314003,0,3,2,1,0,18,1,0,35300,0
314017,1,2,3,0,1,18,1,0,21575,1
314019,1,3,3,0,0,22,0,1,0,1
314031,1,2,2,1,1,20,1,,19531,1
314036,0,3,2,1,0,20,0,1,29531,1
314053,0,3,2,1,0,19,1,1,10000,1
314065,1,3,3,0,1,61,1,1,31500,1
314087,1,2,3,1,0,17,1,1,31550,0
314095,1,2,2,1,0,19,1,1,20531,1
314121,0,3,3,1,0,17,1,1,30000,0
314129,0,2,2,1,0,19,1,1,0,1
314135,0,4,3,1,0,18,1,1,0,0
314137,1,1,1,1,0,18,0,1,21700,0
314138,0,3,4,1,0,18,0,1,18000,0
314139,1,2,1,1,0,17,0,1,22600,1
314149,0,3,3,1,0,18,1,1,22875,0
314150,0,4,2,1,0,18,1,0,0,0
314157,1,3,2,1,0,18,1,1,17750,0
314163,0,3,3,1,0,17,0,0,3000,0
314175,0,3,2,1,1,19,0,1,0,0
314176,0,2,1,1,0,19,0,0,6031,0
314181,0,1,2,1,0,19,0,1,0,1
314182,1,2,3,1,0,19,1,0,27981,1
314183,0,3,2,1,0,19,1,,30041,1
314184,1,2,2,1,0,20,0,1,0,1
314187,1,2,1,1,0,19,1,1,22531,1
314189,1,2,2,1,1,18,1,0,25031,1
314228,0,4,3,1,0,19,0,0,5400,0
314239,0,3,3,1,0,19,0,1,0,0
314242,0,2,2,1,0,18,1,1,12100,0
314257,0,3,3,1,0,18,1,1,0,1
314281,1,3,3,1,0,18,1,1,33000,0
314328,0,3,2,1,0,20,0,0,5000,0
314344,0,3,2,1,0,19,1,0,5000,0
314392,0,3,3,0,0,20,1,1,0,0
314412,0,2,2,1,0,18,0,0,0,0
314414,0,1,2,1,0,19,0,1,0,0
314417,1,3,2,1,0,19,1,1,24950,0
314425,0,3,3,1,0,18,1,1,3000,0
314431,0,3,3,1,0,18,1,,10000,0
314432,1,4,3,1,0,19,0,1,27500,1
314437,0,4,3,0,0,20,0,0,30000,1
314463,0,2,2,1,0,19,1,0,0,0
314465,0,3,3,1,0,18,0,0,30531,0
314503,0,2,2,1,0,23,0,1,0,1
314531,0,3,3,1,0,19,0,1,27900,0
314553,1,3,2,1,0,19,0,1,33000,0
314554,0,3,2,1,0,18,0,1,5000,0
314555,0,2,3,1,0,18,1,1,32000,0
314558,0,3,3,1,0,18,0,0,9000,1
314559,0,3,2,1,0,19,0,,5000,0
314572,0,3,3,1,0,18,1,0,0,0
314585,0,3,3,1,0,19,1,1,3000,0
314587,0,4,3,1,0,17,0,1,27000,0
314609,0,3,3,1,0,18,1,1,30000,0
314640,1,2,2,1,0,18,1,1,18031,0
314644,0,3,3,1,0,18,1,1,0,0
314646,1,3,3,1,0,17,1,1,0,0
314648,0,4,3,0,0,19,1,1,0,0
314652,0,3,3,1,0,18,1,1,0,0
314657,0,2,3,1,0,19,0,0,25000,0
314661,0,3,3,1,0,18,1,1,3000,0
314663,0,2,1,1,0,18,1,,900,0
314667,0,3,2,1,1,18,1,0,0,0
314670,0,3,2,0,0,20,1,1,5000,1
314678,1,3,2,1,1,20,0,0,31031,0
314702,0,3,3,1,0,18,1,1,16031,1
314705,1,2,2,1,0,18,1,0,0,0
314709,1,2,3,1,0,18,1,1,35000,0
314714,1,3,2,1,1,19,1,0,5031,0
314715,0,2,2,1,1,17,1,1,22600,0
314719,0,2,2,1,0,18,1,1,23150,0
314727,0,1,2,1,0,19,1,1,0,0
314734,0,3,3,1,0,19,1,1,30000,0
314735,1,2,2,1,0,19,1,1,28131,0
314740,0,2,2,1,0,18,0,1,0,0
314771,0,3,2,1,0,19,0,0,30431,0
314776,0,3,3,1,0,18,1,0,26925,0
314777,0,2,2,1,0,18,1,1,0,0
314778,0,3,3,1,0,18,1,0,5000,0
314788,0,4,3,0,0,24,0,1,0,0
314802,0,3,3,1,0,18,1,1,32250,0
314829,0,2,1,1,0,19,0,0,0,0
314857,0,4,3,1,0,18,0,1,0,0
314869,1,4,3,1,0,19,1,1,12000,0
314871,1,4,3,1,0,18,0,1,0,0
314873,1,4,3,0,0,19,1,1,0,0
314875,0,2,2,1,0,18,1,1,0,0
314884,1,4,3,0,0,22,0,1,0,0
314889,0,3,3,0,0,19,1,1,0,0
314895,0,2,1,1,0,18,1,0,0,0
314898,0,2,2,1,0,18,1,1,10000,0
314902,0,2,3,1,0,18,0,0,32300,0
314905,0,2,3,1,0,114,1,1,0,0
314914,0,3,3,1,0,18,1,1,0,0
314921,1,4,3,1,0,18,0,,15000,0
314926,0,4,3,1,0,18,0,0,27750,0
314930,0,2,3,1,0,18,0,1,35150,0
314933,0,4,3,1,0,19,1,0,0,0
314936,0,4,3,1,0,18,0,1,26700,0
314955,1,3,2,1,0,19,1,0,46031,0
315057,0,2,2,0,0,19,1,1,0,0
315065,0,2,2,0,0,19,1,1,0,0
315066,0,2,2,1,0,18,1,,0,0
315091,0,2,2,1,0,19,1,0,31031,0
315096,1,2,3,1,0,20,1,0,30000,0
315097,0,2,3,1,0,18,1,0,29100,0
315099,0,2,3,1,0,19,0,0,31031,0
315102,0,3,3,1,0,19,1,0,0,0
315112,1,3,3,1,0,20,1,0,25031,0
315113,0,2,2,1,0,19,1,0,24361,0
315144,0,2,2,1,0,20,1,1,11431,0
315145,0,2,2,1,0,18,1,0,24031,0
315148,0,2,2,1,0,20,1,1,0,0
315154,0,2,3,1,0,18,1,0,30000,0
315159,0,2,2,1,0,19,0,0,0,0
315185,1,2,2,1,0,22,1,1,27000,0
315186,0,2,2,1,0,18,1,0,0,0
315187,0,2,2,1,0,18,1,1,0,0
